"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982969,-40.3775625252687,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757565,44.2153974843422,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106385,-40.201602675119,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112168,-38.2511822462051,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758945,-43.7365579185384,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533342,-37.550372031662,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833213609,0.0690717572655249,48.4207795565294,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812924,38.767487144894,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279758,47.1058093860495,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609052,-43.9933323216711,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921979,41.0015774395539,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595181,40.9741732137187,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652615,-42.1726838115352,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135801,38.2834110933159,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461242,-38.3261828997426,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178477,44.0060249686279,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.9505494949135,0.0435953844405867,44.7421102014084,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
